name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
Nili's Apartment Cup 4,10037,536,2023-03-18,52283.0,Semi-Finals,3,25,Liereyy,2390,5,29,TheViper,2363,3
King of the Desert 5,10609,561,2023-05-27,80000.0,Semi-Finals,3,28,Hera,2442,4,19,Yo,2373,1
King of the Desert 5,10610,561,2023-05-27,80000.0,Semi-Finals,3,29,TheViper,2381,4,24,MbL,2284,1
Brain Champion Cup 2: first stage,10748,565,2009-02-08,10000.0,Semi-Finals,3,15,saymyname,2000,2,1401,Oakley,1900,0
Brain Champion Cup 2: first stage,10749,565,2009-02-08,10000.0,Semi-Finals,3,30,JorDan_23,2004,1,148,Ra,1950,2
Brain Champion Cup 2: first stage,10750,565,2009-02-08,10000.0,Semi-Finals,3,1400,StorM_PhoeniX,1900,1,267,Hammet,2006,2
Brain Champion Cup 2: first stage,10751,565,2009-02-08,10000.0,Semi-Finals,3,33,Tim,2039,2,1402,_BlessUs_,1900,1
Brain Champion Cup 2: first stage,10752,565,2009-02-08,10000.0,Semi-Finals,3,178,BlinG,1985,2,1398,SuPerdogm,1900,1
Brain Champion Cup 2: first stage,10753,565,2009-02-08,10000.0,Semi-Finals,3,510,novalily,1995,2,257,Igloo,2010,1
Brain Champion Cup 2: first stage,10754,565,2009-02-08,10000.0,Semi-Finals,3,1394, _ReD_Dragon,1900,0,164,kyo,2000,2
Brain Champion Cup 2: first stage,10755,565,2009-02-08,10000.0,Semi-Finals,3,1395,Ytrid,1900,0,60,Chris,2221,2
Brain Champion Cup 2: first stage,10756,565,2009-02-08,10000.0,Semi-Finals,3,1420,Ertug,1900,0,252,air3312,2000,0
Brain Champion Cup 2: first stage,10757,565,2009-02-08,10000.0,Semi-Finals,3,1396,Moore,2000,2,307,All__,1978,0
Brain Champion Cup 2: first stage,10758,565,2009-02-08,10000.0,Semi-Finals,3,361,Ugnis,2011,1,108,poZ_cloud,1988,2
Brain Champion Cup 2: first stage,10759,565,2009-02-08,10000.0,Semi-Finals,3,251,seker,2013,2,167,DreaIVIs,2026,1
Brain Champion Cup 2: first stage,10760,565,2009-02-08,10000.0,Semi-Finals,3,1,DauT,2150,2,1397,_OSTRY_,1900,0
Brain Champion Cup 2: first stage,10761,565,2009-02-08,10000.0,Semi-Finals,3,947,Leozim_,1900,1,127,Dziamdziak,2003,2
Brain Champion Cup 2: first stage,10762,565,2009-02-08,10000.0,Semi-Finals,3,1403,Kumruke,2000,2,150,wAkKo,1988,0
Brain Champion Cup 2: first stage,10763,565,2009-02-08,10000.0,Semi-Finals,3,242,ratS,1900,1,169,bvirus,2009,2
Brain Champion Cup 2: first stage,10764,565,2009-02-08,10000.0,Semi-Finals,3,145,Ding,2085,2,154,goodboy,2000,0
Brain Champion Cup 2: first stage,10765,565,2009-02-08,10000.0,Semi-Finals,3,1404,HomeTown,1900,1,1405,VicVegaMD,1996,2
Brain Champion Cup 2: first stage,10766,565,2009-02-08,10000.0,Semi-Finals,3,1406,Latko,2000,2,1407,Conquerous,1900,1
Brain Champion Cup 2: first stage,10767,565,2009-02-08,10000.0,Semi-Finals,3,1408,Iam_Unlimited,1900,0,82,WraTh_,2060,2
Brain Champion Cup 2: first stage,10768,565,2009-02-08,10000.0,Semi-Finals,3,1409,SCotAf,1900,0,142,Alive,2033,2
Brain Champion Cup 2: first stage,10769,565,2009-02-08,10000.0,Semi-Finals,3,1410,Toure,1900,0,1411,HealZilla_,2000,2
Brain Champion Cup 2: first stage,10770,565,2009-02-08,10000.0,Semi-Finals,3,468,s0rCK__,1894,0,144,Funito,1978,2
Brain Champion Cup 2: first stage,10771,565,2009-02-08,10000.0,Semi-Finals,3,1412,_FJ_SSW,2000,2,1413,CatOscar,1900,0
Brain Champion Cup 2: first stage,10772,565,2009-02-08,10000.0,Semi-Finals,3,1414,FairyTale,1900,1,4,dogao,2000,2
Brain Champion Cup 2: first stage,10773,565,2009-02-08,10000.0,Semi-Finals,3,344,Country,1890,1,1415,DayDream,2000,2
Brain Champion Cup 2: first stage,10774,565,2009-02-08,10000.0,Semi-Finals,3,255,BuLbAsaUr,1988,2,1416,Steven,1900,1
Brain Champion Cup 2: first stage,10775,565,2009-02-08,10000.0,Semi-Finals,3,163,PaTiN,2000,2,1417,JotaTe,1900,0
Brain Champion Cup 2: first stage,10776,565,2009-02-08,10000.0,Semi-Finals,3,253,psNps,2000,2,1418,DS,1900,1
