name,id,tournament_id,prizemoney,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2,hidden,s-tier
Nili's Apartment Cup 2,727,58,14000.0,Group Stage,1,25,Liereyy,2398,3,31,TaToH,2369,1,False,True
Nili's Apartment Cup 2,728,58,14000.0,Group Stage,1,29,TheViper,2379,1,24,MbL,2264,3,False,True
Nili's Apartment Cup 2,731,58,14000.0,Group Stage,1,5,F1Re,2146,3,30,JorDan_23,2312,1,False,True
Nili's Apartment Cup 2,732,58,14000.0,Group Stage,1,31,TaToH,2369,3,1,DauT,2286,1,False,True
Nili's Apartment Cup 2,733,58,14000.0,Group Stage,1,29,TheViper,2379,3,27,Nicov,2288,0,False,True
Nili's Apartment Cup 2,734,58,14000.0,Group Stage,1,25,Liereyy,2398,3,24,MbL,2264,1,False,True
Nili's Apartment Cup 2,753,58,14000.0,Group Stage,1,27,Nicov,2288,3,5,F1Re,2146,0,False,True
Nili's Apartment Cup 2,754,58,14000.0,Group Stage,1,30,JorDan_23,2312,0,1,DauT,2286,3,False,True
Nili's Apartment Cup 2,755,58,14000.0,Group Stage,1,25,Liereyy,2398,1,29,TheViper,2379,3,False,True
Nili's Apartment Cup 2,756,58,14000.0,Group Stage,1,24,MbL,2264,3,31,TaToH,2369,1,False,True
Nili's Apartment Cup 2,800,58,14000.0,Group Stage,1,29,TheViper,2379,3,30,JorDan_23,2312,0,False,True
Nili's Apartment Cup 2,801,58,14000.0,Group Stage,1,31,TaToH,2369,3,5,F1Re,2146,0,False,True
AoC Champions League 2016,802,60,529.0,Group Stage,1,29,TheViper,2379,4,55,Vinchester,2331,0,False,False
AoC Champions League 2016,803,60,529.0,Group Stage,1,5,F1Re,2146,2,55,Vinchester,2331,2,False,False
AoC Champions League 2016,804,60,529.0,Group Stage,1,31,TaToH,2369,1,29,TheViper,2379,3,False,False
AoC Champions League 2016,805,60,529.0,Group Stage,1,31,TaToH,2369,3,55,Vinchester,2331,1,False,False
AoC Champions League 2016,806,60,529.0,Group Stage,1,31,TaToH,2369,2,5,F1Re,2146,2,False,False
AoC Champions League 2016,807,60,529.0,Group Stage,1,29,TheViper,2379,1,5,F1Re,2146,3,False,False
Nili's Apartment Cup 2,809,58,14000.0,Group Stage,1,24,MbL,2264,3,27,Nicov,2288,0,False,True
Nili's Apartment Cup 2,810,58,14000.0,Group Stage,1,25,Liereyy,2398,3,1,DauT,2286,1,False,True
Master of Islands,818,61,480.0,Group Stage,1,7,GoKu,1958,1,55,Vinchester,2331,1,False,False
The Empire Collective Cup - Platinium,871,65,2500.0,Group Stage,1,29,TheViper,2379,3,58,Lojza,2073,0,False,False
The Empire Collective Cup - Platinium,872,65,2500.0,Group Stage,1,3,RiuT,2155,3,56,8th_wonder,1998,0,False,False
The Empire Collective Cup - Platinium,873,65,2500.0,Group Stage,1,19,Yo,2354,3,84,FeAge,1929,1,False,False
The Empire Collective Cup - Platinium,874,65,2500.0,Group Stage,1,16,BacT,2129,2,31,TaToH,2369,2,False,False
The Empire Collective Cup - Platinium,875,65,2500.0,Group Stage,1,15,saymyname,2071,1,24,MbL,2264,3,False,False
The Empire Collective Cup - Platinium,876,65,2500.0,Group Stage,1,56,8th_wonder,1998,2,29,TheViper,2379,2,False,False
The Empire Collective Cup - Platinium,877,65,2500.0,Group Stage,1,84,FeAge,1929,1,58,Lojza,2073,3,False,False
The Empire Collective Cup - Platinium,878,65,2500.0,Group Stage,1,31,TaToH,2369,2,3,RiuT,2155,2,False,False
The Empire Collective Cup - Platinium,879,65,2500.0,Group Stage,1,24,MbL,2264,2,16,BacT,2129,2,False,False
The Empire Collective Cup - Platinium,880,65,2500.0,Group Stage,1,15,saymyname,2071,0,60,Chris,2062,3,False,False
